timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-07-29,1.0318,1.0392,1.0055,1.0086,11017016.7,1532908799999,11229182.580855,9494,7482578.03,7623656.916579,0
2018-07-30,1.0086,1.0144,0.9465,0.9733,10338793.92,1532995199999,10197711.171639,11249,6400997.62,6317363.833764,0
2018-07-31,0.9769,0.99,0.9241,0.9405,10926125.43,1533081599999,10380451.543675,12798,6499754.47,6171309.237177,0
2018-08-01,0.9432,0.9474,0.8942,0.9272,11188494.4,1533167999999,10342666.918876,13319,7169326.65,6634136.475874,0
2018-08-02,0.9271,0.9333,0.8747,0.8846,11393146.62,1533254399999,10293225.098066,12424,7589304.41,6864748.648574,0
2018-08-03,0.8846,0.9849,0.7782,0.9621,19522048.46,1533340799999,17751412.22973,33515,11159619.35,10189515.200767,0
2018-08-04,0.9597,0.998,0.8312,0.8527,14518151.71,1533427199999,12958334.790058,19699,8750938.34,7799839.873559,0
2018-08-05,0.8527,0.962,0.8426,0.9051,13159559.52,1533513599999,11927491.85254,19073,8279063.56,7496010.383607,0
2018-08-06,0.9052,0.9274,0.8188,0.8286,16168511.16,1533599999999,14249652.212552,20768,9746840.95,8614084.034463,0
2018-08-07,0.8287,0.8646,0.7388,0.76,17691664.03,1533686399999,14510030.28045,26569,9884610.23,8134237.977174,0
2018-08-08,0.7598,0.7604,0.5948,0.6151,21022791.34,1533772799999,14046269.953818,39408,11914465.56,8023090.304155,0
2018-08-09,0.6157,0.6736,0.5941,0.636,19912332.06,1533859199999,12772944.280537,30533,12090304.92,7760133.687985,0
2018-08-10,0.636,0.6478,0.5447,0.5732,19518001.91,1533945599999,11818839.316071,35706,11333620.05,6876713.037106,0
2018-08-11,0.5733,0.5764,0.5016,0.5197,20553110.1,1534031999999,10848516.475057,32672,12826296.8,6767999.7959,0
2018-08-12,0.5197,0.557,0.5117,0.5376,16042533.11,1534118399999,8628478.002471,19621,9958661.89,5354732.084674,0
2018-08-13,0.5391,0.552,0.4516,0.4557,18314671.41,1534204799999,9442747.233214,22931,11013876.24,5688742.851827,0
2018-08-14,0.4565,0.4594,0.4001,0.4455,17661357.31,1534291199999,7457629.542124,22894,10302452.56,4352408.286479,0
2018-08-15,0.4462,0.4993,0.435,0.4421,17972927.9,1534377599999,8463580.696514,28947,10315646.5,4857599.165794,0
2018-08-16,0.4421,0.4811,0.434,0.4644,15375451.92,1534463999999,7044021.834735,17972,9286551.62,4254317.360736,0
2018-08-17,0.4659,0.563,0.4625,0.5628,22849439.77,1534550399999,11546532.485758,27734,13312303.41,6732994.918559,0
2018-08-18,0.5626,0.5692,0.4591,0.4943,19393645.17,1534636799999,9878022.021064,30327,11087960.47,5663556.832253,0
2018-08-19,0.4943,0.5636,0.4751,0.5373,17770021.1,1534723199999,9304995.162636,20743,11065825.7,5775149.974345,0
2018-08-20,0.5374,0.5483,0.493,0.494,17277711.18,1534809599999,9099084.033545,21977,10190923.59,5375544.882932,0
2018-08-21,0.494,0.5334,0.4928,0.5171,15951834.23,1534895999999,8175683.920442,19074,10186204.51,5219574.130007,0
2018-08-22,0.517,0.555,0.4625,0.4813,19936301.76,1534982399999,10324129.572683,28153,11472115.11,5963645.610508,0
2018-08-23,0.4806,0.5153,0.4752,0.5089,16361734.7,1535068799999,8086864.993111,16850,10205848.78,5046697.882337,0
2018-08-24,0.509,0.5277,0.489,0.5245,16043835.77,1535155199999,8170049.546226,15175,10223823.82,5211605.44616,0
2018-08-25,0.5245,0.5475,0.5165,0.5412,15979532.09,1535241599999,8534567.953399,17156,10365611.33,5534059.356645,0
2018-08-26,0.5403,0.593,0.5144,0.5732,16929725.73,1535327999999,9111443.358888,18901,10529307.24,5655637.010156,0
2018-08-27,0.5732,0.684,0.5587,0.6667,31118050.02,1535414399999,18853866.586812,40934,17150316.45,10404717.839372,0
2018-08-28,0.667,0.794,0.6514,0.768,34057177.38,1535500799999,24543589.747978,56753,18393449.52,13237773.987977,0
2018-08-29,0.768,0.8084,0.7065,0.7244,27813112.59,1535587199999,21043365.750024,48428,14558536.67,11022963.06176,0
2018-08-30,0.7242,0.7291,0.6618,0.7188,25726861.12,1535673599999,17825598.633899,38951,13273847.5,9203171.452126,0
2018-08-31,0.7188,0.743,0.68,0.7087,21599648.07,1535759999999,15385002.969112,33782,10482188.74,7468627.779772,0
2018-09-01,0.7087,0.762,0.7068,0.7427,18258212.19,1535846399999,13453733.050874,25410,9833462.88,7246038.428655,0
2018-09-02,0.7435,0.7478,0.6981,0.7188,14889398.28,1535932799999,10729972.811119,19730,7542167.31,5437031.710293,0
2018-09-03,0.7189,0.7326,0.6855,0.6985,14293153.7,1536019199999,10082245.047834,19076,7629612.69,5387288.068923,0
2018-09-04,0.6994,0.744,0.691,0.7023,16598748.05,1536105599999,11885217.011432,18917,8382822.73,6002980.011261,0
2018-09-05,0.7024,0.7168,0.5611,0.579,15584380.33,1536191999999,10242503.238038,28050,7104472.93,4662152.419029,0
2018-09-06,0.5789,0.6058,0.5328,0.5994,18677591.76,1536278399999,10569149.376304,32363,10548635.43,5976149.833582,0
2018-09-07,0.6017,0.6207,0.5452,0.5655,16341060.1,1536364799999,9521436.687442,20499,9469946.35,5520990.52222,0
2018-09-08,0.5645,0.595,0.5152,0.5313,16328372.23,1536451199999,9226839.746895,20489,10052874.34,5698765.838476,0
2018-09-09,0.5304,0.586,0.5144,0.5546,17208130.32,1536537599999,9508864.696553,21761,10292371.43,5677870.382174,0
2018-09-10,0.5565,0.5994,0.5507,0.572,16539786.97,1536623999999,9466845.209148,22140,9642756.0,5521529.498964,0
2018-09-11,0.5722,0.5848,0.5241,0.5448,16529940.77,1536710399999,9301580.267643,21769,10040577.71,5659629.49819,0
2018-09-12,0.5448,0.558,0.5,0.5485,16154447.63,1536796799999,8585645.61219,23201,9164098.73,4874569.986592,0
2018-09-13,0.5482,0.6,0.5477,0.5765,17697092.5,1536883199999,10116828.149374,28446,10472182.59,5988070.8638,0
2018-09-14,0.577,0.614,0.553,0.5685,15450704.33,1536969599999,8999439.577327,24641,9229945.83,5376808.348423,0
2018-09-15,0.5685,0.593,0.5619,0.5711,15870247.3,1537055999999,9187220.15807,16097,9177447.15,5315591.842893,0
2018-09-16,0.5711,0.5845,0.5544,0.5781,14542374.69,1537142399999,8313792.368043,14979,9466334.34,5412824.158461,0
2018-09-17,0.5776,0.5857,0.5211,0.5337,17354309.37,1537228799999,9660093.898463,24166,10784464.67,6009728.687468,0
2018-09-18,0.534,0.5486,0.5088,0.5331,19355400.45,1537315199999,10313514.460546,22174,10967610.33,5847429.04302,0
2018-09-19,0.5331,0.5434,0.5008,0.5301,20028969.53,1537401599999,10581752.961416,22076,11620982.19,6144003.078415,0
