timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-04-12,66.1,68.5,64.36,65.73,12377.68428,1555113599999,824414.3164161,3868,5312.13873,355281.8667101,0
2019-04-13,65.39,67.36,63.07,64.92,9722.91175,1555199999999,625782.9994219,2658,6061.79917,389236.3936038,0
2019-04-14,64.82,67.0,63.81,66.25,9393.30988,1555286399999,614941.0484138,2370,5867.22736,385621.0435494,0
2019-04-15,66.32,66.82,63.27,63.91,6987.37941,1555372799999,458831.2099804,2611,2585.86808,169692.4513737,0
2019-04-16,63.81,69.66,63.41,68.16,10606.91949,1555459199999,703025.6786501,3936,5041.61957,334151.6245319,0
2019-04-17,68.16,69.4,66.23,67.01,8379.57723,1555545599999,565536.8838904,2888,2673.37811,180744.5221337,0
2019-04-18,67.02,69.88,67.02,68.74,8005.32478,1555631999999,547657.6421862,2829,3092.36887,211076.5646051,0
2019-04-19,68.71,69.4,67.03,68.27,6030.19858,1555718399999,412528.7000438,2339,2521.72558,172471.4028568,0
2019-04-20,68.29,69.96,67.12,69.35,9803.32069,1555804799999,674526.5955778,3092,4217.77867,290487.6442312,0
2019-04-21,69.19,69.99,66.45,68.29,5720.06413,1555891199999,388365.2748423,2225,2817.64414,191465.0612695,0
2019-04-22,68.18,69.05,67.19,68.17,11642.48789,1555977599999,793763.1871881,2538,3897.97811,265929.7019011,0
2019-04-23,68.22,70.75,67.44,68.29,16321.11545,1556063999999,1133686.3649003,4229,8744.6442,606901.7019909,0
2019-04-24,68.29,70.45,64.36,67.31,21241.3665,1556150399999,1422343.2041144,6219,9526.04001,638191.860148,0
2019-04-25,67.37,67.48,61.49,61.49,12369.12256,1556236799999,799299.2742921,3435,5181.73022,335290.4907756,0
2019-04-26,61.7,65.42,60.03,62.5,13292.24296,1556323199999,835631.243087,3939,6961.49436,437686.6299915,0
2019-04-27,62.45,64.58,62.0,63.12,11767.77602,1556409599999,743656.2262583,2609,7927.43651,500861.8980296,0
2019-04-28,63.0,63.54,61.42,62.07,3725.81523,1556495999999,233076.8149664,1451,1428.94704,89481.3879996,0
