timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-06-13,10.0909,10.47,9.12,10.037,10351432.78,1528934399999,102359990.497655,113104,5782310.23,57261137.189482,0
2018-06-14,10.0312,11.7899,9.462,11.2534,10052349.0,1529020799999,106523028.940055,128840,5180605.42,54872807.863107,0
2018-06-15,11.2534,11.45,10.5107,10.6547,5408054.38,1529107199999,59514835.838016,81960,2769422.09,30490026.988673,0
2018-06-16,10.6504,10.8667,10.16,10.5254,6053921.05,1529193599999,64397314.350904,69941,3530757.6,37592373.5587,0
2018-06-17,10.5254,10.75,10.25,10.3388,1627761.79,1529279999999,17059301.816238,38446,846251.27,8857444.513965,0
2018-06-18,10.3388,10.899,10.0963,10.6791,10669784.21,1529366399999,110552296.95424,73020,6758048.46,69992077.084456,0
2018-06-19,10.6738,10.9693,10.38,10.658,7961229.86,1529452799999,84254902.549564,53189,4792195.86,50700962.533173,0
2018-06-20,10.6507,10.7495,10.16,10.412,8798849.05,1529539199999,91455464.480084,59765,5815298.09,60457568.026021,0
2018-06-21,10.4077,10.83,10.2032,10.4099,8923799.16,1529625599999,93496975.064174,55757,5786251.54,60637628.399053,0
2018-06-22,10.4031,10.432,8.246,8.5198,11547386.83,1529711999999,106261475.894052,100813,6326747.52,58369092.669725,0
2018-06-23,8.5133,8.747,8.068,8.4464,8165524.12,1529798399999,68441150.599811,54241,4632130.58,38815819.854207,0
2018-06-24,8.4464,8.5153,6.92,8.06,8983446.42,1529884799999,68460743.083648,74559,4730136.74,36052004.771625,0
2018-06-25,8.0526,8.7,7.668,8.3358,9612531.13,1529971199999,78832873.156145,59566,5607119.26,45965817.114021,0
2018-06-26,8.3357,8.3999,7.5329,7.576,5966985.99,1530057599999,47376969.365396,39383,3313484.02,26306008.691694,0
2018-06-27,7.5518,8.26,7.3878,7.9942,9334245.96,1530143999999,72584833.934405,55662,5517776.5,42900753.74621,0
2018-06-28,7.995,8.087,7.2984,7.3675,8395130.15,1530230399999,65441769.133774,54645,4807377.98,37533506.029159,0
2018-06-29,7.364,7.95,7.0804,7.7438,7661045.91,1530316799999,56484178.757731,49782,4532283.59,33390884.463867,0
2018-06-30,7.7402,8.298,7.7346,8.127,9584422.7,1530403199999,77033354.36232,56416,5755438.23,46255947.819015,0
2018-07-01,8.1298,8.2452,7.761,8.1164,9547404.62,1530489599999,76589299.86134,49275,6111023.27,49020466.334159,0
2018-07-02,8.1136,9.1744,7.88,8.9691,8241723.99,1530575999999,68679644.59923,58648,4874140.05,40444479.450765,0
2018-07-03,8.9665,9.4363,8.6051,8.8336,11219476.51,1530662399999,101340944.763528,69085,6329062.92,57220126.972505,0
